room_number,reviewer,review_content,review_rating,review_date
50000,라면왕지명,"1.펜션 앞 계곡에서 수영 물고기 잡기 할수 있어요 2.숲속에 있어 야경이 멋집니다 3.펜션 내 시설은 2인실은 비추 특히, 다락방에는 에어컨 바람이 안오고 창문 방충망이 없어 문을 열수도 없음 부엌이 너무 좁음 4. 시설이 너무 노후화됐고 본채에있는 데크는 여러 짐들로 지저분함 테이블도 먼지 한참닦았어요 5. 6인실은 별채에 있어 데크상태 좀 나은듯함",8.9,7개월 전
50000,이런젠길,부모님 모시고 1박했는데 뒤쪽에 계곡도있고 잘쉬었다 왔습니다~^^,1.6,7개월 전
50000,궁극적인취침,엄청 친절하세요 숫불도 다 해주셔서 맛나게 구워먹고 갔어요,10.0,9개월 전
50000,점토색복서,사장님 진짜친절하시고 시설도너무청결해요 방옆에 산과계곡이있어서 공기도좋고 조용해서정말 좋았어요~,10.0,9개월 전
50000,친애한시인,한기가 올라오기 시작한 늦가을에 펜션에 들렀는데 펜션 주변에 작은 계곡이 있어 너무 좋았어요!!😀 저희는 둘이서 하루 있을거라 아담한 사이즈의 펜지로 했는데 방이 따듯하고 이뻐서 둘 다 만족하고 돌아가요~^^ 친절하신 지인분들 덕에 다시 오고 싶은 곳이네요,10.0,1년 전
50001,초인적인소름,사장님께서 미리 전화도 주시고 안내를 잘해주셔서 좋았구요 펜션 내부는 깔끔했고 특히 침구류가 뽀송하고 느낌이 참 좋아서 만족했습니다 다만 식기류는 조금더 관리가 필요할듯하구요 거실에 딸린 테라스에서 바베큐해먹는데 바로 앞 개울이 흐르는 소리가 들려서 참 운치있고 기분좋게 보냈습니다 주차장도 굉장히 넓었어요,7.3,2년 전
50001,6362761,가격 대비 괜찮아요,8.6,2년 전
50002,기차꽃길,"1. 우선 주변 환경이 좋아요. 고즈넉하고 캠핑장 안에 작은 시내도 흐르고, 연꽃도 피어있고, 농구대도 있어요. 2. 위치가 좋아요. 백제 유물 보기에도 가깝고 마트도 비교적 가까워요. 자가용은 있어야 해요. 3. 텐트 내부도 깨끗한 편이에요. 4. 4인 이용시 2인은 침대 사용. 2인은 바닥에서 자야하는데 요가 너무 얇아요. 덮는 이불도 하나 밖에 없어요. 늦게 도착해서 더 달란 말 안 하고 그냥 잤어요. 소파베드는 엉성해서 자진 못해요. 5. 온수 잘 나오고, TV 장 아래 휴지랑 그릇들 있어요.",6.0,6개월 전
50002,멀뚱멀뚱겸댕맘,날씨가 너무 춥고 눈까지 와서 걱정했는데 오히려 분위기 좋고 숙소도 생각보다 훨씬 깨끗하고 개별 화장실에 방도 넓고 주변도 조용하니 너무 좋았어요~~ 옆에 좋은 이웃?들도 만나 기분좋게 이용하고 날씨 따뜻해지면 꼭 다시한번 오자고 아이들과 약속했어요~~^^ 숯이 아닌 장작을 피워 굽는 고기맛도 최고였구용~~ㅋ 담엔 고구마도 꼭 가져와야겠어용~~ 잘 쉬다 갑니당^^,9.0,12개월 전
50002,정팔궁,다시 온 글랭핑장~~~ 공기도좋구 방도 따뜻하구. 너무 좋아용~~ 잘쉬다갑니당~~,9.3,1년 전
50002,11109132,깔끔하다. 개별 화장실이 있다. 넓다. 냉온풍기가 있고 전기장판이 구비되어있어 잘 잤다. 다만 전자레인지가 없으니 참고해야함. 다른곳에 비해 4인기준이라 저렴했다. 관리하시는분들도 친절했고 쓰레기 분류해서 버리기도 편했다. 멀지않은곳에 하나로마트가 위치해있으니 가서 장을 봐도 충분할 것 같다. 세면도구는 각자 알아서 챙기도록 해야 한다. 비누 하나 있다.,9.0,1년 전
50002,전폭적인메밀,"시설은 그럭저럭 괜잖았고, 직원분들은 친절했습니다. 재방문 의사 있습니다.",10.0,1년 전
50006,,,10.0,
50007,,,,
50008,뽀로로사랑님,재미있게놀다왔습니다. 테라스에서 바베큐가 가능해서 따로 안나가도 되고 좋았습니다.,,6개월 전
50008,10223120,돌산대교하고 멀어서 조용히 휴식을 취하고만 싶으면 좋을 듯 방은 넓음 근데 수영장은 땡볕에 덩그러니 있어서 들어가지 않았음 차양설치를 했으면 좋을 듯,9.1,1년 전
50008,단순한보쌈김치,매우 친절!합니다! 따뜻하고좋앗어요,7.6,1년 전
50008,서른지구,친구들과 2018년 마지막을 알차게 보내기 위해 펜션을 검색하던중 발견한 펜션 사진으로 너무 깨끗하고 넓어 보여 예약을 했습니다. 사진과 같이 너무 너무 깨끗하고 사장님이 너무 친절하셔서 좋았습니당 ㅠㅠ 입실 시간 맞춰 방도 따뜻하게 해주시고부족한게 있음 말하라며 계속 챙겨주시고 너무 친절하셨습니다♡♡,8.6,2년 전
50009,9988234,사장님이 너무 친절하십니다 ! 고양이 보금이도 귀여워요 ㅜㅜ 강도 가깝고 근처에서 구명조끼도 무료로 대여해줘서 재밋게 놀다 왓습니다 !,10.0,1년 전
