room_number,room_types,room_price,room_img
50000,로즈마리,100000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/302666b758fc41cd9d238bd48b610d62.jpg
50000,베고니아,110000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/e3c0b5084e374bf4977847bd340a9709.jpg
50000,아이리스,110000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/c64a09b4ad06422f8e09bc1b39659044.jpg
50000,쟈스민,110000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/854bc40a2eb649d7971b554437c114f2.jpg
50000,크로바,110000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/921be2d1830c440f804a85a5fe19b567.jpg
50000,라벤더,120000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/9ebad655fb73458ba72f0a14b6cc7698.jpg
50000,데이지,180000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/083fab64383349baa4e0a5f079119ba8.jpg
50000,프리지아,180000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/10/11/251513cdcce14c0f9eaa015fb9363e05.jpg
50001,무주스타1호2F방1화장실1계곡테라스,90000,//image.goodchoice.kr/resize_370x220/affiliate/2020/01/13/11/a51fc6792edc4114ba4e6df02fc5d155.jpg
50001,무주스타2호3F방2화장실2계곡테라스,180000,//image.goodchoice.kr/resize_370x220/affiliate/2020/02/03/03/71040329d91f4ef995dff323e067ea99.jpg
50002, , , 
50006,1호실,80000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/0d9193efa56f45df89732bf561910df0.jpg
50006,2호실,80000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/39e74745426a4e8f8d8a42b3e217f114.jpg
50006,3호실,120000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/671664d747464cd58aabf2c0eb20a28d.jpg
50006,4호실,130000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/0f645143019b4447b702bcfe29ce1d91.jpg
50006,5호실,160000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/827c2f72bf404839a30baa523bccea73.jpg
50006,6호실,160000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/33af409bd18040e4bb0719a84355acd4.jpg
50006,7호실,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/09/09/05/e5635d9f57824dcaa9d161bdd0efc5e7.jpg
50007,201호,70000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/5db041e0ef2a4550847603b8d94b1ecd.jpg
50007,202호,70000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/f8cb40baa26b44daaa7eb3bfcdd0c0ce.jpg
50007,203호,70000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/a6ebc5cfeae34962a225c5872458da65.jpg
50007,204호,70000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/6bbb767b27ea4cf79f721a04170d6d98.jpg
50007,205호,100000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/9cec05ccf9204765a6707b907e59db2c.jpg
50007,206호,100000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/a228de173f174f0a9b19855f583e2796.jpg
50007,302호,150000,//image.goodchoice.kr/resize_370x220/affiliate/2018/12/31/10/dddf8a26228a46f8bef2cf52dba24620.jpg
50008,가동 2호,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/07/12/10/f74fd09745b64db2ab1dc776a0f7214e.jpg
50008,가동 4호,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/07/12/10/f6119838689a4a87af0ed77d586306de.jpg
50008,가동 6호,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/07/12/10/e9b42853231142d4a19435c6f9a39926.jpg
50008,나동 1호,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/07/12/10/f6de6c239c44471e86ddc77c56a3da63.jpg
50008,나동 3호,200000,//image.goodchoice.kr/resize_370x220/affiliate/2019/07/12/10/106a385de15747d6b830861f38aa831a.jpg
50008,가동 1호,250000,//image.goodchoice.kr/resize_370x220/affiliate/2019/07/12/10/77477e73018440ed8297fd2eb0e72c9a.jpg
